table_name,ordinal_position,column_name,data_type,is_nullable,column_default
creature,50,mana_min,integer,NO,0
creature,51,mana_max,integer,NO,0
creature,52,armor_min,integer,NO,1
creature,53,armor_max,integer,NO,1
creature,54,resistances,ARRAY,NO,"'{0,0,0,0,0,0}'::integer[]"
creature,55,trainer_type,smallint,NO,0
creature,56,trainer_requirement,integer,NO,0
creature,57,spells,ARRAY,NO,'{}'::integer[]
creature,58,pet_spell_data_id,integer,YES,
creature,59,vehicle_id,integer,YES,
creature,60,script_or_ai,text,YES,
creature,61,string_id,text,YES,
creature,62,name_norm,text,YES,
creature,63,faction_template_id,integer,NO,0
creature,64,attack_power,integer,NO,0
creature_difficulty,1,entry,integer,NO,
creature_difficulty,2,difficulty_1,integer,YES,
creature_difficulty,3,difficulty_2,integer,YES,
creature_difficulty,4,difficulty_3,integer,YES,
creature_family,1,id,integer,NO,
creature_family,2,name,text,YES,
creature_family,3,skill_line,integer,NO,0
creature_family,4,skill_line_2,integer,NO,0
creature_family,5,pet_food_mask,integer,NO,0
creature_family,6,pet_talent_type,integer,NO,'-1'::integer
creature_family,7,category_enum_id,integer,NO,0
creature_family,8,icon,text,YES,
creature_loot,1,entry,integer,NO,
creature_loot,2,item_id,integer,NO,
creature_loot,3,chance,real,NO,100
creature_loot,4,mincountorref,integer,NO,1
creature_loot,5,maxcount,integer,NO,1
creature_loot,6,groupid,smallint,NO,0
creature_loot,7,lootcondition_id,integer,YES,
creature_loot,8,quest_required,boolean,NO,false
creature_loot,9,reference_id,integer,NO,0
creature_onkill_reputation,1,creature_id,integer,NO,
creature_onkill_reputation,2,faction_id,integer,NO,
creature_onkill_reputation,3,rep_change,smallint,NO,0
creature_quest_ends,1,id,integer,NO,
creature_quest_ends,2,quest_id,integer,NO,
creature_quest_starts,1,id,integer,NO,
creature_quest_starts,2,quest_id,integer,NO,
creature_search,1,creature_id,integer,NO,
creature_search,2,locale,smallint,NO,
creature_search,3,n_name,text,YES,
creature_search,4,n_subname,text,YES,
creature_spawn,1,guid,bigint,NO,
creature_spawn,2,entry,integer,NO,
creature_spawn,3,map_id,integer,NO,
creature_spawn,4,zone_id,integer,YES,
creature_spawn,5,area_id,integer,YES,
creature_spawn,6,x,double precision,YES,
creature_spawn,7,y,double precision,YES,
creature_spawn,8,z,double precision,YES,
creature_spawn,9,spawnmask,smallint,YES,
creature_spawn,10,phasemask,integer,YES,
creature_spawn,11,zone_x_pct,real,YES,
creature_spawn,12,zone_y_pct,real,YES,
creature_spell_data,1,id,integer,NO,
creature_spell_data,2,spells,ARRAY,NO,'{}'::integer[]
creature_waypoint,1,creature_or_path,integer,NO,
creature_waypoint,2,point,smallint,NO,
creature_waypoint,3,area_id,integer,NO,
creature_waypoint,4,floor,smallint,NO,'-1'::integer
creature_waypoint,5,pos_x,real,NO,
creature_waypoint,6,pos_y,real,NO,
creature_waypoint,7,wait_ms,integer,NO,0
currency,1,id,integer,NO,
currency,2,category,integer,NO,0
currency,3,icon_id,integer,YES,
currency,4,item_id,integer,YES,
currency,5,cap,integer,NO,0
currency,6,name,text,YES,
currency,7,name_loc,jsonb,NO,'{}'::jsonb
currency,8,description,text,YES,
currency,9,description_loc,jsonb,NO,'{}'::jsonb
dbversion,1,applied_at,timestamp with time zone,NO,now()
dbversion,2,part,smallint,NO,1
dbversion,3,version,text,NO,
dbversion,4,notes,text,YES,
disenchant_loot,1,entry,integer,NO,
disenchant_loot,2,item_id,integer,NO,
disenchant_loot,3,chance,numeric,NO,100
disenchant_loot,4,mincount,smallint,NO,1
disenchant_loot,5,maxcount,smallint,NO,1
disenchant_loot,6,groupid,smallint,NO,0
dungeon_boss_extra,1,map_id,integer,NO,
dungeon_boss_extra,2,creature_id,integer,NO,
dungeon_boss_extra,3,sort_order,integer,NO,0
dungeon_boss_extra,4,optional,boolean,NO,false
event,1,id,integer,NO,
event,2,holiday_id,integer,YES,
event,3,start_time,timestamp with time zone,YES,
event,4,end_time,timestamp with time zone,YES,
event,5,occurrence_secs,integer,NO,0
event,6,length_secs,integer,NO,0
event,7,requires,text,YES,
event,8,description,text,YES,
faction,1,id,integer,NO,
faction,2,rep_index,smallint,NO,'-1'::integer
faction,3,side,USER-DEFINED,NO,'neutral'::faction_side
faction,4,expansion,smallint,NO,0
faction,5,parent_faction_id,integer,YES,
faction,6,base_rep,jsonb,NO,'[]'::jsonb
faction,7,spillover_in,real,NO,0
faction,8,spillover_out,real,NO,0
faction,9,spillover_max_rank,smallint,NO,0
faction,10,qm_npc_ids,ARRAY,NO,'{}'::integer[]
faction,11,template_ids,ARRAY,NO,'{}'::integer[]
faction,12,name,text,YES,
faction,13,name_loc,jsonb,NO,'{}'::jsonb
faction,14,description,text,YES,
faction,15,description_loc,jsonb,NO,'{}'::jsonb
faction_template,1,id,integer,NO,
faction_template,2,faction_id,integer,NO,
faction_template,3,alliance,smallint,NO,0
faction_template,4,horde,smallint,NO,0
faction_template,5,flags,integer,NO,0
faction_template,6,faction_group,integer,NO,0
faction_template,7,friend_group,integer,NO,0
faction_template,8,enemy_group,integer,NO,0
faction_template,9,enemies,ARRAY,NO,'{}'::integer[]
faction_template,10,friends,ARRAY,NO,'{}'::integer[]
fishing_loot,1,area_id,integer,NO,
fishing_loot,2,item_id,integer,NO,
fishing_loot,3,chance,numeric,NO,100
fishing_loot,4,mincount,smallint,NO,1
fishing_loot,5,maxcount,smallint,NO,1
fishing_loot,6,groupid,smallint,NO,0
fishing_loot,7,reference_id,integer,NO,0
gameobject,1,id,integer,NO,
gameobject,2,type,smallint,NO,0
gameobject,3,type_cat,smallint,NO,0
gameobject,4,event_id,integer,YES,
gameobject,5,display_id,integer,NO,0
gameobject,6,faction_id,integer,YES,
gameobject,7,flags,integer,NO,0
gameobject,8,cu_flags,integer,NO,0
gameobject,9,loot_id,integer,YES,
gameobject,10,lock_id,integer,NO,0
gameobject,11,req_skill,integer,YES,
gameobject,12,page_text_id,integer,YES,
gameobject,13,linked_trap_id,integer,YES,
gameobject,14,req_quest_id,integer,YES,
gameobject,15,spell_focus_id,integer,YES,
gameobject,16,on_use_spell_id,integer,YES,
gameobject,17,on_success_spell_id,integer,YES,
gameobject,18,aura_spell_id,integer,YES,
gameobject,19,triggered_spell_id,integer,YES,
gameobject,20,misc_info,text,YES,
gameobject,21,script_or_ai,text,YES,
gameobject,22,string_id,text,YES,
gameobject,23,name,text,YES,
gameobject,24,name_loc,jsonb,NO,'{}'::jsonb
gameobject,25,name_norm,text,YES,
gameobject_loot,1,entry,integer,NO,
gameobject_loot,2,item_id,integer,NO,
gameobject_loot,3,chance,numeric,NO,100
gameobject_loot,4,mincount,smallint,NO,1
gameobject_loot,5,maxcount,smallint,NO,1
gameobject_loot,6,groupid,smallint,NO,0
gameobject_loot,7,quest_required,boolean,NO,false
gameobject_loot,8,reference_id,integer,NO,0
gameobject_quest_ends,1,id,integer,NO,
gameobject_quest_ends,2,quest_id,integer,NO,
gameobject_quest_starts,1,id,integer,NO,
gameobject_quest_starts,2,quest_id,integer,NO,
gameobject_search,1,gameobject_id,integer,NO,
gameobject_search,2,locale,smallint,NO,
gameobject_search,3,n_name,text,YES,
gameobject_spawn,1,guid,bigint,NO,
gameobject_spawn,2,entry,integer,NO,
gameobject_spawn,3,map_id,integer,NO,
gameobject_spawn,4,zone_id,integer,YES,
gameobject_spawn,5,area_id,integer,YES,
gameobject_spawn,6,x,double precision,YES,
gameobject_spawn,7,y,double precision,YES,
gameobject_spawn,8,z,double precision,YES,
gameobject_spawn,9,spawnmask,smallint,YES,
gameobject_spawn,10,phasemask,integer,YES,
gameobject_spawn,11,zone_x_pct,real,YES,
gameobject_spawn,12,zone_y_pct,real,YES,
glyphproperties,1,id,integer,NO,
glyphproperties,2,spell_id,integer,YES,
glyphproperties,3,type_flags,smallint,NO,0
glyphproperties,4,icon_id,integer,YES,
holiday,1,id,integer,NO,
holiday,2,boss_creature_id,integer,YES,
holiday,3,achievement_cat_or_id,integer,YES,
holiday,4,name,text,YES,
holiday,5,name_loc,jsonb,NO,'{}'::jsonb
holiday,6,description,text,YES,
holiday,7,description_loc,jsonb,NO,'{}'::jsonb
holiday,8,looping,boolean,NO,true
holiday,9,schedule_type,smallint,NO,0
holiday,10,icon_id,integer,YES,
holiday,11,texture_string,text,YES,
icon,1,id,integer,NO,
icon,2,name,text,NO,
icon,3,name_source,text,YES,
item_character_creation,1,item_id,integer,NO,
item_character_creation,2,class_id,smallint,NO,
item_crafted_by,1,recipe_item_id,integer,YES,
item_crafted_by,2,spell_id,integer,NO,
item_crafted_by,3,crafted_item_id,integer,NO,
item_dbc,1,id,integer,NO,
item_dbc,2,class,smallint,NO,
item_dbc,3,sub_class,smallint,NO,
item_dbc,4,display_id,integer,NO,0
item_dbc,5,inventory_type,smallint,NO,0
item_dbc,6,sheath,smallint,NO,0
item_display_info,1,display_id,integer,NO,
item_display_info,2,icon_name,text,NO,
item_loot,1,entry,integer,NO,
item_loot,2,item_id,integer,NO,
item_loot,3,chance,numeric,NO,100
item_loot,4,mincount,smallint,NO,1
item_loot,5,maxcount,smallint,NO,1
item_loot,6,groupid,smallint,NO,0
item_loot,7,quest_required,boolean,NO,false
item_loot,8,reference_id,integer,NO,0
item_stats,1,item_id,integer,NO,
item_stats,2,nsockets,smallint,NO,0
item_stats,3,dps,real,YES,
item_stats,4,speed,real,YES,
item_stats,5,damage_type,smallint,YES,
item_stats,6,str,integer,NO,0
item_stats,7,agi,integer,NO,0
item_stats,8,sta,integer,NO,0
item_stats,9,int_,integer,NO,0
item_stats,10,spi,integer,NO,0
item_stats,11,crit_rating,integer,NO,0
item_stats,12,hit_rating,integer,NO,0
item_stats,13,haste_rating,integer,NO,0
item_stats,14,expertise,integer,NO,0
item_stats,15,armor_pen,integer,NO,0
item_stats,16,mastery_rating,integer,NO,0
item_stats,17,resilience,integer,NO,0
item_stats,18,armor,integer,NO,0
item_stats,19,defense,integer,NO,0
item_stats,20,dodge_rating,integer,NO,0
item_stats,21,parry_rating,integer,NO,0
item_stats,22,block_rating,integer,NO,0
item_stats,23,block_value,integer,NO,0
item_stats,24,attack_power,integer,NO,0
item_stats,25,spell_power,integer,NO,0
item_stats,26,spell_pen,integer,NO,0
item_stats,27,mp5,integer,NO,0
item_stats,28,hp5,integer,NO,0
item_stats,29,res_holy,integer,NO,0
item_stats,30,res_fire,integer,NO,0
item_stats,31,res_nature,integer,NO,0
item_stats,32,res_frost,integer,NO,0
item_stats,33,res_shadow,integer,NO,0
item_stats,34,res_arcane,integer,NO,0
item_stats,35,spell_power_holy,integer,NO,0
item_stats,36,spell_power_fire,integer,NO,0
item_stats,37,spell_power_nature,integer,NO,0
item_stats,38,spell_power_frost,integer,NO,0
item_stats,39,spell_power_shadow,integer,NO,0
item_stats,40,spell_power_arcane,integer,NO,0
itemenchantment,1,id,integer,NO,
itemenchantment,2,charges,smallint,NO,0
itemenchantment,3,proc_chance,smallint,NO,0
itemenchantment,4,ppm_rate,real,NO,0
itemenchantment,5,types,ARRAY,NO,'{}'::smallint[]
itemenchantment,6,amounts,ARRAY,NO,'{}'::integer[]
itemenchantment,7,objects,ARRAY,NO,'{}'::integer[]
itemenchantment,8,name,text,YES,
itemenchantment,9,name_loc,jsonb,NO,'{}'::jsonb
itemenchantment,10,condition_id,smallint,YES,
itemenchantment,11,skill_line_id,integer,YES,
itemenchantment,12,skill_level,smallint,NO,0
itemenchantment,13,required_level,smallint,NO,0
items,1,id,integer,NO,
items,2,class,smallint,NO,0
items,3,sub_class,smallint,NO,0
items,4,sub_sub_class,smallint,NO,0
items,5,sound_override_subclass,smallint,YES,
items,6,quality,USER-DEFINED,NO,'common'::item_quality
items,7,flags,integer,NO,0
items,8,flags_extra,integer,NO,0
items,9,flags_custom,integer,NO,0
items,10,cu_flags,integer,NO,0
items,11,inventory_type,USER-DEFINED,NO,'non_equip'::inventory_type
items,12,bonding,USER-DEFINED,NO,'none'::item_bonding
items,13,item_level,smallint,NO,0
items,14,required_level,smallint,NO,0
items,15,required_class,integer,NO,0
items,16,required_race,integer,NO,0
items,17,required_skill,integer,YES,
items,18,required_skill_rank,smallint,NO,0
items,19,required_spell,integer,YES,
items,20,required_honor_rank,integer,NO,0
items,21,required_city_rank,integer,NO,0
items,22,required_faction_id,integer,YES,
items,23,required_faction_rank,smallint,NO,0
items,24,required_disenchant_skill,smallint,NO,'-1'::integer
items,25,max_count,integer,NO,0
items,26,stackable,integer,NO,1
items,27,container_slots,smallint,NO,0
items,28,bag_family,integer,NO,0
items,29,totem_category,integer,NO,0
items,30,icon_id,integer,YES,
items,31,display_id,integer,NO,0
items,32,spell_visual_id,integer,NO,0
items,33,material,smallint,NO,0
items,34,sheath,smallint,NO,0
items,35,page_text_id,integer,NO,0
items,36,language_id,smallint,NO,0
items,37,food_type,smallint,NO,0
items,38,duration,integer,NO,0
items,39,item_limit_category,smallint,NO,0
items,40,holiday_id,integer,YES,
items,41,script_name,text,NO,''::text
items,42,model,text,YES,
items,43,buy_count,smallint,NO,1
items,44,buy_price,integer,NO,0
items,45,sell_price,integer,NO,0
items,46,repair_price,integer,NO,0
items,47,stats,jsonb,NO,'[]'::jsonb
items,48,scaling_stat_distribution,smallint,NO,0
items,49,scaling_stat_value,integer,NO,0
items,50,damage,jsonb,NO,'[]'::jsonb
items,51,delay_ms,integer,NO,1000
items,52,armor,integer,NO,0
items,53,armor_damage_modifier,real,NO,0
items,54,block,integer,NO,0
items,55,res_holy,smallint,NO,0
items,56,res_fire,smallint,NO,0
items,57,res_nature,smallint,NO,0
items,58,res_frost,smallint,NO,0
items,59,res_shadow,smallint,NO,0
items,60,res_arcane,smallint,NO,0
items,61,ammo_type,smallint,NO,0
items,62,ranged_mod_range,real,NO,0
items,63,durability,smallint,NO,0
items,64,spells,jsonb,NO,'[]'::jsonb
items,65,sockets,jsonb,NO,'[]'::jsonb
items,66,socket_bonus,integer,NO,0
items,67,gem_color_mask,integer,NO,0
items,68,gem_enchantment_id,integer,YES,
items,69,disenchant_id,integer,NO,0
items,70,random_property_id,integer,YES,
items,71,random_suffix_id,integer,YES,
items,72,random_enchant,integer,NO,0
items,73,itemset,integer,YES,
items,74,area_id,integer,YES,
items,75,map_id,integer,YES,
items,76,start_quest_id,integer,YES,
items,77,lock_id,integer,NO,0
items,78,pick_up_sound_id,integer,YES,
items,79,drop_down_sound_id,integer,YES,
items,80,sheathe_sound_id,integer,YES,
items,81,unsheathe_sound_id,integer,YES,
items,82,min_money_loot,integer,NO,0
items,83,max_money_loot,integer,NO,0
items,84,name,text,YES,
items,85,name_loc,jsonb,NO,'{}'::jsonb
items,86,description,text,YES,
items,87,description_loc,jsonb,NO,'{}'::jsonb
items,88,version_tag,USER-DEFINED,NO,'unspecified'::item_version_tag
items,89,phase,smallint,YES,
items,90,drop_rate,text,YES,
items,91,source_label,text,YES,
items,92,source_category,text,YES,
items,93,classes,ARRAY,NO,'{}'::text[]
items,94,raw_payload,jsonb,YES,
items,95,first_seen_at,timestamp with time zone,NO,now()
items,96,last_updated_at,timestamp with time zone,NO,now()
items,97,name_norm,text,YES,
items,98,worldforged,boolean,NO,false
items,99,taught_spell_id,integer,YES,
items,100,wf_base_item_id,integer,YES,
items,101,worldforged_tier,smallint,YES,
items_search,1,item_id,integer,NO,
items_search,2,locale,smallint,NO,
items_search,3,n_name,text,YES,
items_search,4,n_description,text,YES,
items_search,5,n_effects,text,YES,
itemset,1,id,integer,NO,
itemset,2,ref_set_id,integer,YES,
itemset,3,quality,USER-DEFINED,NO,'common'::item_quality
itemset,4,type,smallint,NO,0
itemset,5,content_group,smallint,NO,0
itemset,6,npieces,smallint,NO,0
itemset,7,min_level,smallint,NO,0
itemset,8,max_level,smallint,NO,0
itemset,9,req_level,smallint,NO,0
itemset,10,class_mask,integer,NO,0
itemset,11,skill_id,integer,YES,
itemset,12,skill_level,smallint,NO,0
itemset,13,heroic,boolean,NO,false
itemset,14,event_id,integer,YES,
itemset,15,item_ids,ARRAY,NO,'{}'::integer[]
itemset,16,bonus_spells,ARRAY,NO,'{}'::integer[]
itemset,17,bonus_thresholds,ARRAY,NO,'{}'::smallint[]
itemset,18,name,text,YES,
itemset,19,name_loc,jsonb,NO,'{}'::jsonb
itemset,20,bonus_text,text,YES,
itemset,21,bonus_text_loc,jsonb,NO,'{}'::jsonb
lfg_dungeon,1,id,integer,NO,
lfg_dungeon,2,name,text,NO,
lfg_dungeon,3,name_loc,jsonb,NO,'{}'::jsonb
lfg_dungeon,4,min_level,smallint,NO,0
lfg_dungeon,5,max_level,smallint,NO,0
lfg_dungeon,6,target_level,smallint,NO,0
lfg_dungeon,7,map_id,integer,YES,
lfg_dungeon,8,difficulty,smallint,NO,0
lfg_dungeon,9,type_cat,smallint,NO,0
lfg_dungeon,10,faction,smallint,NO,'-1'::integer
lfg_dungeon,11,expansion,smallint,NO,0
lfg_dungeon,12,group_id,integer,NO,0
lfg_dungeon,13,description,text,YES,
lfg_dungeon,14,description_loc,jsonb,NO,'{}'::jsonb
lfg_dungeon,15,flags,integer,NO,0
locale,1,id,smallint,NO,
locale,2,code,text,NO,
locale,3,name,text,NO,
loot_link,1,id,bigint,NO,nextval('loot_link_id_seq'::regclass)
loot_link,2,npc_id,integer,NO,
loot_link,3,object_id,integer,NO,
loot_link,4,difficulty,USER-DEFINED,NO,'normal'::instance_difficulty
loot_link,5,priority,smallint,NO,0
loot_link,6,encounter_id,integer,NO,0
loot_template,1,id,bigint,NO,nextval('loot_template_id_seq'::regclass)
loot_template,2,loot_id,integer,NO,
loot_template,3,item_id,integer,NO,
loot_template,4,chance,real,NO,100
loot_template,5,quest_required,boolean,NO,false
loot_template,6,lootmode,integer,NO,1
loot_template,7,group_id,smallint,NO,0
loot_template,8,min_count,integer,NO,1
loot_template,9,max_count,integer,NO,1
loot_template,10,reference_id,integer,NO,0
loot_template,11,comment,text,YES,
map,1,id,integer,NO,
map,2,directory,text,YES,
map,3,type,USER-DEFINED,NO,'world'::map_type
map,4,is_battleground,boolean,NO,false
map,5,expansion,smallint,NO,0
map,6,name,text,YES,
map,7,name_loc,jsonb,NO,'{}'::jsonb
map,8,instance_type,smallint,YES,
map,9,flags,integer,NO,0
map,10,max_players,smallint,YES,
mind_of_ascension_talent,1,id,integer,NO,
mind_of_ascension_talent,2,tree_id,smallint,NO,
mind_of_ascension_talent,3,row,smallint,NO,
mind_of_ascension_talent,4,col,smallint,NO,
mind_of_ascension_talent,5,max_rank,smallint,NO,1
mind_of_ascension_talent,6,spell_ids,ARRAY,NO,'{}'::integer[]
mind_of_ascension_talent,7,parent_talent_id,integer,YES,
mind_of_ascension_talent,8,parent_required_rank,smallint,NO,0
mind_of_ascension_talent,9,name,text,YES,
mind_of_ascension_talent,10,name_loc,jsonb,NO,'{}'::jsonb
mind_of_ascension_talent,11,description,text,YES,
mind_of_ascension_talent,12,description_loc,jsonb,NO,'{}'::jsonb
mind_of_ascension_talent,13,icon_id,integer,YES,
mind_of_ascension_talent,14,raw_payload,jsonb,YES,
mind_of_ascension_tree,1,id,smallint,NO,nextval('mind_of_ascension_tree_id_seq'::regclass)
mind_of_ascension_tree,2,slug,USER-DEFINED,NO,
mind_of_ascension_tree,3,name,text,NO,
mind_of_ascension_tree,4,name_loc,jsonb,NO,'{}'::jsonb
mind_of_ascension_tree,5,description,text,YES,
mind_of_ascension_tree,6,description_loc,jsonb,NO,'{}'::jsonb
mind_of_ascension_tree,7,icon_id,integer,YES,
mind_of_ascension_tree,8,role_hint,text,YES,
mystic_enchant,1,id,integer,NO,
mystic_enchant,2,item_id,integer,YES,
mystic_enchant,3,spell_id,integer,YES,
mystic_enchant,4,scroll_name,text,NO,
mystic_enchant,5,class_filter,text,YES,
mystic_enchant,6,quality,USER-DEFINED,NO,'common'::item_quality
mystic_enchant,7,tier,text,YES,
mystic_enchant,8,req_level,smallint,NO,0
mystic_enchant,9,effect_text,text,YES,
mystic_enchant,10,tooltip_text,text,YES,
mystic_enchant,11,prerequisites,ARRAY,NO,'{}'::text[]
mystic_enchant,12,is_crossover,boolean,NO,false
mystic_enchant,13,is_collected_default,boolean,NO,false
mystic_enchant,14,raw_payload,jsonb,YES,
mystic_enchant,15,fetched_at,timestamp with time zone,NO,now()
npc_trainer,1,entry,integer,NO,
npc_trainer,2,spell_id,integer,NO,
npc_trainer,3,money_cost,integer,NO,0
